AppStream ID,Parent,Classifier,Name,Summary
TlwgTypist-Oblique.ttf,Thai Tlwg,Typist,Thai Tlwg,A set of Thai fonts from the Thai Linux Working Group
TlwgTypo-Oblique.ttf,Thai Tlwg,Typo,^,^
TlwgMono-Oblique.ttf,Thai Tlwg,Mono,^,^
TlwgTypewriter-Oblique.ttf,Thai Tlwg,Typewriter,^,^
tobec___.ttf,,Sans,,Decorative Sans Serif font
Trabajo.otf,,Serif,,Latin Serif font that supports Shavian alphabet
TribunADFStd-Regular.ttf,Tribun,Regular,Tribun,A newsprint-like serif font
TribunADFStd-Cond.ttf,Tribun,Condensed,^,^
TribunADFStd-Med.ttf,Tribun,Medium,^,^
TribunADFStd-CondBoldItalic.ttf,Tribun,Condensed Bold italic,^,^
Tuffy.ttf,,Sans,,Generic sans font
UKIJTuz.ttf,,,,Uyghur Computer Science Association (UKIJ) fonts
Ubuntu-Title.ttf,,,Ubuntu Title,A titling decorative font to create the lettering of the Ubuntu logo
Umpush-Light.ttf,,,,Thai Umpush fonts
UnDinaru.ttf,,,,Un Core fonts - UnDinaru
Unikuweb.ttf,,,Unikurd,A widely used Kurdish font for Arabic-like scripts and Latin
VDRSymbolsSans.ttf,,,Symbols Sans,VDR symbol fonts
VL-Gothic-Regular.ttf,VL Gothic,Regular,,A Japanese font
VL-PGothic-Regular.ttf,VL Gothic,Proportional,VL Gothic,^
Vemana2000.ttf,,,Vemana,A font for Telugu
Vollkorn-Regular.ttf,,Serif,,Serif Latin font with a focus on good readability
Waree-Oblique.ttf,,,,A serif Latin font that is designed to have good readability
WarenderBibliothek.otf,,,,A fantasy font by Peter Schwanemann
Widelands.otf,,,,A Latin font inspired by feudal calligraphy
Xaporho.otf,,,,A Latin font that is sharp and angular
YanoneKaffeesatz-Light.otf,,,,Yanone Kaffeesatz decorative fonts
YanoneTagesschrift.ttf,,Serif,,A serif decorative latin font
cmmi10.ttf,LyxMathML,,Lyx/MathML,Lyx/MathML fonts
cmr10.ttf,LyxMathML,,^,^
cmsy10.ttf,LyxMathML,,^,^
eufm10.ttf,LyxMathML,,^,^
feta.ttf,,,Feta26,Denemo feta fonts
gargi.ttf,,,Gargi,A Devanagari font
andyfitz_-_roadstencil.otf,,,Road Stencil,A font based on painted street markings
